Bank #,Expr. Bank #,Preset #,Preset Name,Details,Sample Credit,Changes from Original Version,Different from “MuseScore_General.sf2”?
0,,0,Grand Piano,"""Splendid Grand"" for AKAI S5000
 . Steinway Model D grand piano ""close-mic""","Samples: AKAI, edited by S. Christian Collins
Original License: Public Domain (confirmed via AKAI rep.)"," . Created SF2 from scratch using the WAV files (original was in AKAI S5000 sampler format).
 . Reduced sample set to 94 MB from original 250 MB.
 . Phase-aligned the samples to avoid phase cancellation when mixing to mono.",
0,,1,Bright Grand Piano,same info as 000:000 Grand Piano,," . Used sample-shifting to create unique tonality compared to ""Grand Piano"".",
0,,2,Electric Grand,,,,
0,,3,Honky-Tonk Piano,same info as 000:000 Grand Piano,, . Used sample-shifting for more realistic sound that avoids the flanging effect usually associated with such presets,
0,,4,Tine Electric Piano,,,,
0,,5,FM Electric Piano,Waveforms built using additive synthesis. I will eventually make an even better FM piano reproduction using generated FM waveforms.,Samples: created by S. Christian Collins,,
0,,6,Harpsichord,,,,
0,,7,Clavinet,,,,
0,,8,Celesta,,,,
0,,9,Glockenspiel,,,,
0,,10,Music Box,,,,
0,,11,Vibraphone,,,,
0,,12,Marimba,,,,
0,,13,Xylophone,,,,
0,,14,Tubular Bells,,,,
0,,15,Dulcimer,,,,
0,17,16,Drawbar Organ,,,,
0,17,17,Percussive Organ,,,,
0,17,18,Rock Organ,,,,
0,17,19,Church Organ,,,,
0,17,20,Reed Organ,,,,
0,17,21,Accordion,,,,
0,17,22,Harmonica,,,,
0,17,23,Bandoneon,,,,
0,,24,Nylon String Guitar,,,,
0,,25,Steel String Guitar,,,,
0,,26,Jazz Guitar,,,,
0,,27,Clean Guitar,,,,
0,,28,Palm Muted Guitar,,,,
0,,29,Overdrive Guitar,,,,
0,,30,Distortion Guitar,,,,
0,,31,Guitar Harmonics,,,,
0,,32,Acoustic Bass,,,,
0,,33,Fingered Bass,,,,
0,,34,Picked Bass,,,,
0,,35,Fretless Bass,,,,
0,,36,Slap Bass,,,,
0,,37,Pop Bass,,,,
0,,38,Synth Bass 1,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,,39,Synth Bass 2,I will be replacing this with generated FM samples,Original License: public domain,,
0,17,40,Violin,,,,
0,17,41,Viola,,,,
0,17,42,Cello,,,,
0,17,43,Contrabass,,,,
0,17,44,Strings Tremolo,same info as 000:048 Strings Fast,,,x
0,,45,Strings Pizzicato,same info as 000:048 Strings Fast,,,x
0,,46,Harp,,,,
0,,47,Timpani,,,,
0,17,48,Strings Fast,Ensemble strings samples from Versilian Studios Chamber Orchestra (VSCO) 2.1.1 Community Edition: http://vis.versilstudios.net/vsco-community.html,"Samples: Sam Gossner, Simon Dalzell, Elan Hickler/Soundemote + modifications by S. Christian Collins
Original License: CC0 1.0 Universal"," . Samples were normalized, looped and doctored in various ways.
 . The contrabass ensemble samples were created via various combinations of the solo contrabass samples.",x
0,17,49,Strings Slow,same info as 000:048 Strings Fast,,,x
0,17,50,Synth Strings 1,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,51,Synth Strings 2,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,52,Choir Aahs,,,,
0,17,53,Voice Oohs,,,,
0,17,54,Synth Voice,,,,
0,,55,Orchestra Hit,,,,
0,17,56,Trumpet,,"Samples: uncredited
License: Public Domain"," . Downsampled from 48 KHz to 44.1 KHz.
 . Fixed bad loop points.",
0,17,57,Trombone,,,,
0,17,58,Tuba,,,,
0,17,59,Harmon Mute Trumpet,,,,
0,17,60,French Horns,,,,
0,17,61,Brass Section,,,,
0,17,62,Synth Brass 1,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,63,Synth Brass 2,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,64,Soprano Sax,,,,
0,17,65,Alto Sax,,,,
0,17,66,Tenor Sax,,,,
0,17,67,Baritone Sax,,,,
0,17,68,Oboe,,,,
0,17,69,English Horn,,,,
0,17,70,Bassoon,,,,
0,17,71,Clarinet,,,,
0,17,72,Piccolo,,,,
0,17,73,Flute,,,,
0,17,74,Recorder,,,,
0,17,75,Pan Flute,,,,
0,17,76,Bottle Chiff,,,,
0,17,77,Shakuhachi,,,,
0,17,78,Whistle,,,,
0,17,79,Ocarina,,,,
0,17,80,Square Lead,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,81,Saw Lead,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,82,Calliope Lead,,,,
0,17,83,Chiffer Lead,,,,
0,17,84,Charang,,,,
0,17,85,Solo Vox,,,,
